##############
# CLUSTER 41 #
##############

attribute prevalence  =   1004 / 110100 = 0.009119
                    network adminstration          3    0.000005
                        phd communication          3    0.000005
                         retail marketing          3    0.000005
               social development studies          3    0.000005
 advanced diploma in 3d animation and vfx          2    0.000003
                        advanced networks          2    0.000003
                     art- interior design          2    0.000003
          audio recording and engineering          2    0.000003
                            ba art studio          2    0.000003
                 ba in mass communication          2    0.000003
             ba(hons) business management          2    0.000003
                              bacalaureat          2    0.000003


#############
# CLUSTER 3 #
#############

attribute prevalence  =   6865 / 110100 = 0.062352
occurrence prevalence =  29811 / 626862 = 0.047556

                              attribute  frequency  prevalence
                                derecho        588    0.000938
                               medicina        526    0.000839
                         diseño gráfico        511    0.000815
                            informática        508    0.000810
                             periodismo        497    0.000793
                 ingeniería informática        468    0.000747
                           arquitectura        436    0.000696
                             publicidad        348    0.000555
                           bachillerato        307    0.000490
                             secundaria        306    0.000488
                               primaria        267    0.000426
                             psicología        262    0.000418
              ingeniería en informática        251    0.000400
                 ingeniería de sistemas        238    0.000380
                              bachiller        233    0.000372
                 ingenieria de sistemas        215    0.000343
                           preparatoria        209    0.000333
                 ingenieria en sistemas        206    0.000329
                         diseño grafico        187    0.000298
                    comunicación social        186    0.000297
                  ingeniería industrial        184    0.000294
            ciencias de la comunicación        178    0.000284
              ingeniería en computación        161    0.000257
                   ingeniería comercial        156    0.000249
 ingeniería en sistemas computacionales        149    0.000238
                           comunicación        144    0.000230
               comunicación audiovisual        138    0.000220
 ingenieria en sistemas computacionales        128    0.000204
                   analista de sistemas        127    0.000203
                 ingeniería en sistemas        127    0.000203
                       ingeniería civil        126    0.000201
                      diseño industrial        125    0.000199
           ingeniería civil informática        124    0.000198
              ingenieria en informatica        123    0.000196
                 ingenieria informatica        122    0.000195
                               economía        121    0.000193
                               sistemas        121    0.000193
            ingeniería civil industrial        120    0.000191
                          mercadotecnia        120    0.000191
                                    eso        118    0.000188
                  ingeniero de sistemas        112    0.000179
                 ingeniería electrónica        110    0.000175
          ing. sistemas computacionales        109    0.000174
                             ingenieria        101    0.000161
       ing. en sistemas computacionales        100    0.000160
                          ing. sistemas         96    0.000153
                  bachiller en ciencias         93    0.000148
  ingeniería en sistemas de información         92    0.000147
                            electronica         89    0.000142
             administración de empresas         87    0.000139


##############
# CLUSTER 30 #
##############

attribute prevalence  =    588 / 110100 = 0.005341
occurrence prevalence =  15136 / 626862 = 0.024146

                                       attribute  frequency  prevalence
                               political science       4988    0.007957
                                             law       4170    0.006652
                                         history       3663    0.005843
                         international relations        970    0.001547
                                              jd        413    0.000659
                                   public policy        299    0.000477
                           teaching and learning          5    0.000008
                                     droit privé          4    0.000006
                                            bsfs          3    0.000005
                           commerce - accounting          3    0.000005
                               french, education          3    0.000005
                                          m arch          3    0.000005
                                             sjd          3    0.000005
                                        חשבונאות          3    0.000005
              advertising & marketing management          2    0.000003
                                   auto mechanic          2    0.000003
                        ba, government & history          2    0.000003
                                     ba: theatre          2    0.000003
 biochemistry and cellular and molecular biology          2    0.000003
                      bsc information management          2    0.000003
                                             chi          2    0.000003
                               chicana/o studies          2    0.000003
                                classic culinary          2    0.000003
      electronics & telcommunication engineering          2    0.000003
                    english and medieval studies          2    0.000003
                              film media studies          2    0.000003
                     higher education management          2    0.000003
                        japanese and linguistics          2    0.000003
                          language & linguistics          2    0.000003
                    m.a., educational psychology          2    0.000003
                         maquinas y herramientas          2    0.000003
                           master in engineering          2    0.000003
                          merchandise management          2    0.000003
                                     music, film          2    0.000003
                                          notary          2    0.000003
                           philanthropic studies          2    0.000003
                   philosophy, cognitive science          2    0.000003
                                        policing          2    0.000003
                                   ramon y cajal          2    0.000003
                                   razredni pouk          2    0.000003
                    recreation & leisure studies          2    0.000003
                                         samhall          2    0.000003
                       sport and event marketing          2    0.000003
                                     supervision          2    0.000003
                               terrorism studies          2    0.000003
                                      youth work          2    0.000003
                                   2-year acting          1    0.000002
          3d computer animation & visual effects          1    0.000002
                  45 rpm records spinning around          1    0.000002
                             a level certificate          1    0.000002


##############
# CLUSTER 17 #
##############

attribute prevalence  =    593 / 110100 = 0.005386
occurrence prevalence =  13962 / 626862 = 0.022273

                                     attribute  frequency  prevalence
                           business management       1572    0.002508
                                       general       1467    0.002340
                               general studies       1089    0.001737
                        industrial engineering       1084    0.001729
                                  anthropology       1078    0.001720
                              criminal justice        953    0.001520
                                  neuroscience        631    0.001007
                                       theatre        617    0.000984
                                     fine arts        448    0.000715
                             computer sciences        439    0.000700
                                     computing        386    0.000616
                               interior design        351    0.000560
                                       primary        280    0.000447
                           systems engineering        243    0.000388
                               web development        228    0.000364
         análise e desenvolvimento de sistemas        202    0.000322
                                  broadcasting        194    0.000309
                                            aa        163    0.000260
