##############
# CLUSTER 39 #
##############

attribute prevalence  =   1062 / 246973 = 0.004300
                      national chengchi university        108    0.000116
                                              實踐大學        107    0.000115
 national taiwan university of science and tech...        105    0.000113
                                              政治大學        100    0.000108
                                              中央大學         99    0.000107
                                              清華大學         98    0.000106
                   national chung cheng university         89    0.000096
                                            南台科技大學         88    0.000095
                   chung yuan christian university         84    0.000091
                                              nctu         84    0.000091
                                              nccu         83    0.000089
          national taipei university of technology         82    0.000088
                                              長庚大學         81    0.000087
                                              義守大學         80    0.000086
                                            國立中央大學         79    0.000085
                                tunghai university         78    0.000084
                                            國立政治大學         77    0.000083
                                              大葉大學         73    0.000079
                                            台灣科技大學         70    0.000075
                                              靜宜大學         70    0.000075
                              fneg chia university         68    0.000073
                                            國立中正大學         68    0.000073
                                            朝陽科技大學         68    0.000073
                                              ncku         66    0.000071
                                            國立成功大學         66    0.000071
                   national chung hsing university         64    0.000069
                                            國立東華大學         64    0.000069
                                            國立中山大學         61    0.000066
                                            樹德科技大學         59    0.000064


###############
# CLUSTER 106 #
###############

attribute prevalence  =    742 / 246973 = 0.003004
occurrence prevalence =  16013 / 928097 = 0.017254

                                         attribute  frequency  prevalence
       university of north carolina at chapel hill       1469    0.001583
                                 drexel university       1139    0.001227
                             university of houston       1046    0.001127
                             university of alabama        726    0.000782
 university at buffalo, the state university of...        704    0.000759
                     university of texas at dallas        689    0.000742
                  florida international university        606    0.000653
                         colorado state university        545    0.000587
                             kent state university        495    0.000533
                                queen's university        484    0.000521
                             university of alberta        484    0.000521
                               mcmaster university        469    0.000505
                                 towson university        464    0.000500
                      mississippi state university        457    0.000492
                     grand valley state university        419    0.000451
                      appalachian state university        410    0.000442
                       university of new hampshire        356    0.000384
                           old dominion university        352    0.000379
                           wright state university        324    0.000349
                california state university, chico        294    0.000317
                                    humber college        275    0.000296
                            saint louis university        275    0.000296
                                  rowan university        273    0.000294
               california state university, fresno        267    0.000288
                               university of akron        244    0.000263
                               marshall university        241    0.000260
                   fashion institute of technology        209    0.000225
                           sonoma state university        160    0.000172
                       western carolina university        158    0.000170
                                denison university        146    0.000157
                                     union college        140    0.000151
                  johnson county community college        107    0.000115
                                    collin college        104    0.000112
                        kirkwood community college         76    0.000082
                    hillsborough community college         72    0.000078
                             washington university         57    0.000061
                                     blinn college         56    0.000060
       minneapolis community and technical college         49    0.000053
                     christian brothers university         47    0.000051
                      bridgewater state university         43    0.000046
                             melbourne high school         42    0.000045
   the art institute of california - orange county         30    0.000032
                            memphis college of art         26    0.000028
                               brandon high school         20    0.000022
                               western high school         20    0.000022
                         st. stephen's high school         12    0.000013
           west virginia university college of law          9    0.000010
                                      central high          8    0.000009
                 davidson county community college          8    0.000009
                                               wgu          8    0.000009


##############
# CLUSTER 78 #
##############

attribute prevalence  =   4200 / 246973 = 0.017006
occurrence prevalence =  15062 / 928097 = 0.016229

                                         attribute  frequency  prevalence
                 universidade estadual de campinas        434    0.000468
                                               usp        289    0.000311
                                              ufrj        250    0.000269
                        anhembi morumbi university        234    0.000252
                 mackenzie presbyterian university        208    0.000224
                                             ufrgs        204    0.000220
            universidade federal de santa catarina        198    0.000213
                                              espm        194    0.000209
 pontifícia universidade católica do rio de jan...        177    0.000191
                                              ufsc        171    0.000184
       pontifical catholic university of são paulo        170    0.000183
                   universidade federal fluminense        155    0.000167
                universidade federal de pernambuco        124    0.000134
                                            ufscar        122    0.000131
                                               unb        122    0.000131
                                              uerj        121    0.000130
         escola superior de propaganda e marketing        118    0.000127
                                   miami ad school        117    0.000126
         universidade federal do rio grande do sul        113    0.000122
       universidade federal do rio grande do norte        108    0.000116
                                              faap        100    0.000108
                                           puc-rio         98    0.000106
                      universidade são judas tadeu         94    0.000101
 pontifícia universidade católica do rio grande...         93    0.000100
                 universidade estadual de londrina         91    0.000098
  pontifícia universidade católica de minas gerais         89    0.000096
                                              fiap         88    0.000095
                           fundação getúlio vargas         85    0.000092
                     universidade federal da bahia         84    0.000091
                                            unisul         80    0.000086
                    universidade federal de viçosa         80    0.000086
                                             cefet         77    0.000083
                           faculdade cásper líbero         73    0.000079
                                      univercidade         72    0.000078
                     universidade federal do ceará         66    0.000071
                                           uniceub         65    0.000070
                                             ulbra         63    0.000068
              universidade federal de juiz de fora         63    0.000068
                                             fumec         54    0.000058
                                              ufms         54    0.000058
                                             unisa         54    0.000058
                      universidade anhembi morumbi         53    0.000057
                                              ifpb         52    0.000056
                                universidade fumec         52    0.000056
                              universidade feevale         51    0.000055
     centro universitario belas artes de sao paulo         49    0.000053
                                  colégio pedro ii         49    0.000053
                       state university of maringá         48    0.000052
                                           unifieo         48    0.000052
                   universidade federal de pelotas         48    0.000052


###############
# CLUSTER 100 #
###############

attribute prevalence  =   1214 / 246973 = 0.004916
occurrence prevalence =  14623 / 928097 = 0.015756

                                       attribute  frequency  prevalence
                        university of washington       2773    0.002988
                               boston university       1929    0.002078
                              rutgers university       1590    0.001713
                 university of wisconsin-madison       1456    0.001569
                         university of minnesota       1363    0.001469
               university of colorado at boulder       1130    0.001218
                        johns hopkins university       1107    0.001193
                            university of oregon       1076    0.001159
               university of illinois at chicago        641    0.000691
               the university of texas at austin        292    0.000315
                       capital community college          4    0.000004
                                       cbtis 128          4    0.000004
                      east greenwich high school          4    0.000004
                     iii liceum ogólnokształcące          4    0.000004
                        dekalb community college          3    0.000003
                      mount saint joseph academy          3    0.000003
                    south worcestershire college          3    0.000003
                           weehawken high school          3    0.000003
                          zrínyi ilona gimnázium          3    0.000003
                           anacortes high school          2    0.000002
                       bakke graduate university          2    0.000002
                    bay city western high school          2    0.000002
                           carr hill high school          2    0.000002
                    central memorial high school          2    0.000002
                                     clovis high          2    0.000002
                          college of hard knocks          2    0.000002
                       defense language institue          2    0.000002
                                  disted college          2    0.000002
                  drake university school of law          2    0.000002
                           dunnellon high school          2    0.000002
                      gymnasium neckartenzlingen          2    0.000002
                           i can count to potato          2    0.000002
                                            iada          2    0.000002
                    john a. ferguson senior high          2    0.000002
                         kantonsschule solothurn          2    0.000002
                               lakes high school          2    0.000002
               liceo profesional abdon cifuentes          2    0.000002
                     lone star community college          2    0.000002
                           lusher charter school          2    0.000002
                    mainland regional highschool          2    0.000002
                                         neo a&m          2    0.000002
            north china university of technology          2    0.000002
                                 oriveden opisto          2    0.000002
                       pacific grove high school          2    0.000002
 purdue university school of veterinary medicine          2    0.000002
                     rio vista elementary school          2    0.000002
                      salisbury east high school          2    0.000002
                        south wirral high school          2    0.000002
                   st sebastian goan high school          2    0.000002
                                     st trinians          2    0.000002


###############
# CLUSTER 162 #
###############

attribute prevalence  =    559 / 246973 = 0.002263
occurrence prevalence =  13937 / 928097 = 0.015017

                                         attribute  frequency  prevalence
                           northeastern university       1422    0.001532
                               syracuse university       1253    0.001350
                      george washington university       1099    0.001184
                              university of kansas       1092    0.001177
                                 depaul university        855    0.000921
                                  emory university        760    0.000819
                                    boston college        752    0.000810
                      university of south carolina        729    0.000785
                               university of miami        628    0.000677
                                 baylor university        567    0.000611
                   case western reserve university        533    0.000574
                               brandeis university        453    0.000488
      new york university stern school of business        374    0.000403
                         university college london        370    0.000399
