################
# CLUSTER 12.0 #
################

attribute prevalence  =   5191 / 555819 = 0.009339
           bts informatique de gestion         89    0.000142
                      hotel management         84    0.000134
                               russian         84    0.000134
                     political economy         83    0.000132
                                   egb         82    0.000131
                                   all         78    0.000124
         history and political science         74    0.000118


###############
# CLUSTER 4.0 #
###############

attribute prevalence  =   4168 / 555819 = 0.007499
occurrence prevalence =  29601 / 626862 = 0.047221

                               attribute  frequency  prevalence
                                     mba       7628    0.012169
                  electrical engineering       6221    0.009924
                               marketing       4950    0.007896
                            neuroscience        631    0.001007
                  ingegneria informatica        573    0.000914
                                      ee        473    0.000755
                     engenharia elétrica        219    0.000349
      industrial and systems engineering        131    0.000209
                             programming        129    0.000206
                                    b.sc        121    0.000193
                                plus two        114    0.000182
     civil and environmental engineering        113    0.000180
                        mechanical engg.        102    0.000163
                           asian studies         96    0.000153
                            theater arts         74    0.000118
                    rechtswissenschaften         73    0.000116
                                     e&c         60    0.000096
                     information studies         58    0.000093
                        electrical engg.         57    0.000091
             ingenieria civil industrial         50    0.000080
                                   bible         49    0.000078
          mathematics & computer science         46    0.000073
               international development         44    0.000070
                            b.tech (ece)         43    0.000069
                         performing arts         40    0.000064
                                   tenth         40    0.000064
 instrumentation and control engineering         39    0.000062
                               class xii         37    0.000059
                  automobile engineering         36    0.000057
                       b.tech mechanical         36    0.000057
                        computer sceince         36    0.000057
                            be computers         33    0.000053
                 strategic communication         33    0.000053
                                 b.e cse         31    0.000049
                                    extc         28    0.000045
                                taxation         28    0.000045
                          chemical engg.         27    0.000043
            ingeniería civil electrónica         27    0.000043
             programtervező informatikus         26    0.000041
                            comptabilité         25    0.000040
                             geosciences         25    0.000040
                            physics/math         25    0.000040
                                     aas         24    0.000038
          doctor of osteopathic medicine         24    0.000038
                       finance/economics         24    0.000038
                           physics, math         24    0.000038
                      química y farmacia         22    0.000035
            brain and cognitive sciences         21    0.000034
                          cinematic arts         21    0.000034
                                     dmd         20    0.000032


################
# CLUSTER 26.0 #
################

attribute prevalence  =   3791 / 555819 = 0.006821
occurrence prevalence =  28156 / 626862 = 0.044916

                               attribute  frequency  prevalence
                     information systems       1471    0.002347
                                     mca       1372    0.002189
                                 derecho        588    0.000938
                                     bba        581    0.000927
                                   b.com        468    0.000747
                     applied mathematics        433    0.000691
                          primary school        412    0.000657
                                    mbbs        396    0.000632
                                      +2        394    0.000629
                   wirtschaftsinformatik        390    0.000622
                                 spanish        389    0.000621
             electronics & communication        323    0.000515
                                theology        320    0.000510
                   international affairs        281    0.000448
                                  french        278    0.000443
                        entrepreneurship        272    0.000434
                          bioinformatics        264    0.000421
                              electrical        251    0.000400
                     systems engineering        243    0.000388
                  ingeniería de sistemas        238    0.000380
                                  b-tech        234    0.000373
                         web development        228    0.000364
                         library science        227    0.000362
                 bachelor of engineering        214    0.000341
                       elementary school        212    0.000338
                              graduation        209    0.000333
                             accountancy        207    0.000330
                                    pcmb        205    0.000327
                                    icse        199    0.000317
                                  german        198    0.000316
                         mechanical engg        181    0.000289
                                      10        174    0.000278
                                     bfa        174    0.000278
                                    cbse        163    0.000260
                      project management        157    0.000250
                                 chinese        152    0.000242
          electronics and communications        152    0.000242
                                      12        147    0.000235
                                    10+2        145    0.000231
                        dut informatique        144    0.000230
                                   gcses        139    0.000222
                                     ged        139    0.000222
                        medieninformatik        139    0.000222
                            study abroad        136    0.000217
 electronics & communication engineering        127    0.000203
                  ingeniería en sistemas        127    0.000203
          molecular and cellular biology        125    0.000199
            ingeniería civil informática        124    0.000198
                                    m.d.        119    0.000190
                                      hs        118    0.000188


################
# CLUSTER 42.0 #
################

attribute prevalence  =   7328 / 555819 = 0.013184
occurrence prevalence =  26983 / 626862 = 0.043045

                       attribute  frequency  prevalence
           visual communications        305    0.000487
                              md        267    0.000426
                     game design        226    0.000361
                 liberal studies        204    0.000325
                             vwo        200    0.000319
              master of divinity        192    0.000306
           ingeniería industrial        184    0.000294
               english education        167    0.000266
                        a-levels        163    0.000260
                   matriculation        163    0.000260
               special education        159    0.000254
       interdisciplinary studies        153    0.000244
                      media arts        145    0.000231
                            bsee        144    0.000230
                      elementary        142    0.000227
                            csie        120    0.000191
          ingeniería electrónica        110    0.000175
               vocal performance        106    0.000169
              perito informatico        100    0.000160
                    maschinenbau         94    0.000150
                         telecom         92    0.000147
       bs electrical engineering         90    0.000144
                       nutrition         89    0.000142
              bfa graphic design         88    0.000140
            medicina e chirurgia         88    0.000140
      administración de empresas         87    0.000139
             film and television         87    0.000139
           operations management         87    0.000139
             character animation         86    0.000137
     computer systems technology         86    0.000137
       wirtschaftsingenieurwesen         82    0.000131
                     basisschool         79    0.000126
                    grade school         79    0.000126
                      biophysics         76    0.000121
                computer systems         76    0.000121
                  human services         74    0.000118
                          physik         74    0.000118
                     hospitality         73    0.000116
                            bsit         72    0.000115
                 musical theatre         72    0.000115
 elettronica e telecomunicazioni         71    0.000113
                   it management         71    0.000113
                      bs biology         69    0.000110
 master of public administration         69    0.000110
