##############
# CLUSTER 51 #
##############

attribute prevalence  =    736 / 110100 = 0.006685
                                4th to 9th          1    0.000002
                             6 std & 7 std          1    0.000002
                                 6 to 12th          1    0.000002
                                 6th - 8th          1    0.000002
                   8th grade to 10th grade          1    0.000002
                                  9 & 10th          1    0.000002
     advanced and international management          1    0.000002
                               autocad r12          1    0.000002
                       b-tech , mechanical          1    0.000002
                             b.a malayalam          1    0.000002
                 b.a.(hons.) l.l.b.(hons.)          1    0.000002
                           b.a./humanities          1    0.000002
                            b.com (honors)          1    0.000002
                              b.e  - e.c.e          1    0.000002
                                      b.e,          1    0.000002
                             b.e. - e.c.e.          1    0.000002
              b.f.tech(apparel production)          1    0.000002
                                 b.pharmay          1    0.000002
                             b.sc biotech.          1    0.000002
                                b.sc ca&bm          1    0.000002
                              b.sc geology          1    0.000002


##############
# CLUSTER 16 #
##############

attribute prevalence  =    252 / 110100 = 0.002289
occurrence prevalence =  11227 / 626862 = 0.017910

                                  attribute  frequency  prevalence
                              biotechnology        669    0.001067
                                        eee        470    0.000750
                                        b.e        463    0.000739
                           secondary school        425    0.000678
                                       mbbs        396    0.000632
                                         +2        394    0.000629
                electronics & communication        323    0.000515
                                        pcm        321    0.000512
     electrical and electronics engineering        313    0.000499
                                  secondary        313    0.000499
                        engineering physics        266    0.000424
                                       b.e.        252    0.000402
                                 electrical        251    0.000400
                                     b-tech        234    0.000373
                    bachelor of engineering        214    0.000341
                                 graduation        209    0.000333
                                       pgdm        206    0.000329
                                       pcmb        205    0.000327
                                       icse        199    0.000317
                                    masters        188    0.000300
                            mechanical engg        181    0.000289
                                      inter        180    0.000287
                                     m.tech        174    0.000278
                                       cbse        163    0.000260
                              matriculation        163    0.000260
                 electrical and electronics        160    0.000255
             electronics and communications        152    0.000242
                          primary education        131    0.000209
                                      civil        127    0.000203
    electronics & communication engineering        127    0.000203
       electrical & electronics engineering        124    0.000198
                                    b. tech        123    0.000196
                                        xii        113    0.000180
                                 b.tech cse        111    0.000177
                                      m.p.c        110    0.000175
            electronics and instrumentation        103    0.000164
                           mechanical engg.        102    0.000163
 electronics and communications engineering        100    0.000160
                         general management         98    0.000156
                   electrical & electronics         97    0.000155
                                    b.tech.         93    0.000148
                             junior college         90    0.000144
                     production engineering         89    0.000142
                                  aerospace         88    0.000140
                     bachelor of technology         87    0.000139
                            electrical engg         86    0.000137
                    b.tech computer science         83    0.000132
                             science stream         81    0.000129
                         mining engineering         77    0.000123
                                        i.t         72    0.000115


##############
# CLUSTER 59 #
##############

attribute prevalence  =    183 / 110100 = 0.001662
occurrence prevalence =   8520 / 626862 = 0.013592

                                         attribute  frequency  prevalence
                                          medicine       2031    0.003240
                                             music       1305    0.002082
                                      liberal arts        855    0.001364
                                       linguistics        624    0.000995
                                         geography        529    0.000844
                                       art history        513    0.000818
                                              j.d.        481    0.000767
                                         animation        404    0.000644
                                           geology        358    0.000571
                                          politics        320    0.000510
                                        studio art        317    0.000506
                                        undeclared        262    0.000418
                                     human biology        197    0.000314
                                        associates         56    0.000089
                                   english/writing         22    0.000035
                           bachelor of social work         15    0.000024
                                             emt-b         15    0.000024
                visual effects and motion graphics         10    0.000016
                                           ballin'          6    0.000010
                                   standard grades          5    0.000008
                    master of professional writing          3    0.000005
                                       physics, ba          3    0.000005
                        pr, kommunikasjon og media          3    0.000005
                                 sleeping in class          3    0.000005
                                        b.commerce          2    0.000003
                                  ba in government          2    0.000003
                                ba social sciences          2    0.000003
                            btec media development          2    0.000003
                                 education/science          2    0.000003
 faculty of electrical engineering and informatics          2    0.000003
                                     german/french          2    0.000003
                      global health and population          2    0.000003
              international business and logistics          2    0.000003
                             lanscape architecture          2    0.000003
                               literature, writing          2    0.000003
                      ma international development          2    0.000003
                                ma music education          2    0.000003
                                master in toerisme          2    0.000003
                             mathematics/chemistry          2    0.000003
                               media, ikt & design          2    0.000003
                                             olasz          2    0.000003
                    organismal biology and anatomy          2    0.000003
                         pr, kommunikasjon & media          2    0.000003
               psychology - cognitive neuroscience          2    0.000003
                                     refrigeration          2    0.000003
                         social work and sociology          2    0.000003
            stage management and technical theatre          2    0.000003
                            theater/communications          2    0.000003
                         3d design: designer maker          1    0.000002
                                a lot of subjects.          1    0.000002


##############
# CLUSTER 23 #
##############

attribute prevalence  =    227 / 110100 = 0.002062
occurrence prevalence =   8503 / 626862 = 0.013564

                                       attribute  frequency  prevalence
                                      journalism       3212    0.005124
                                  communications       2489    0.003971
                                   communication       1660    0.002648
                                public relations        902    0.001439
                                 film studies ma          3    0.000005
                                        kunstfag          3    0.000005
                      social development studies          3    0.000005
                 audio recording and engineering          2    0.000003
                          bachelors of sociology          2    0.000003
                               btec art & design          2    0.000003
                                english- writing          2    0.000003
                               igazgatásszervező          2    0.000003
                              litteraturhistorie          2    0.000003
                       master of sacred theology          2    0.000003
                            mathematics, biology          2    0.000003
                             medical terminology          2    0.000003
                                       shamanism          2    0.000003
                             theatre (directing)          2    0.000003
                               (more) accounting          1    0.000002
                (photographe/travail de l'image)          1    0.000002
                               3d filmproduksjon          1    0.000002
             5-9 science/math, special education          1    0.000002
                            5th - 10th ( s.s.c.)          1    0.000002
                                          a.t.d.          1    0.000002
                                     aas - music          1    0.000002
                           accountancy & chinese          1    0.000002
                                     accountings          1    0.000002
            advanced diploma in stage management          1    0.000002
                  advertising digital technology          1    0.000002
 ancient history and classical civilisation (ma)          1    0.000002
                               animation-drawing          1    0.000002
                    anthropology/women's studies          1    0.000002
   apparel merchandising and product development          1    0.000002
                           arts & communications          1    0.000002
                       asp/sql, java, web design          1    0.000002
                         audio engineering cert.          1    0.000002
                       b.a. christian ministries          1    0.000002
           b.a. english (comparative literature)          1    0.000002
                              b.f.a. applied art          1    0.000002
            b.f.a. in theatrical production arts          1    0.000002
                              b.s. business & it          1    0.000002
                  b.s. history/political science          1    0.000002
                       ba anthropology/geography          1    0.000002
                                ba communiations          1    0.000002
      ba religionsvidenskab, supp. visuel kultur          1    0.000002
                            ba(hons) photography          1    0.000002
                          ba, digital media arts          1    0.000002
                                  ba, humanities          1    0.000002
               ba, media management & production          1    0.000002
                          ba; speech: radio & tv          1    0.000002


###############
# CLUSTER 160 #
###############

attribute prevalence  =    134 / 110100 = 0.001217
occurrence prevalence =   8503 / 626862 = 0.013564

                          attribute  frequency  prevalence
                        social work        490    0.000782
                         government        458    0.000731
                                 jd        413    0.000659
              visual communications        305    0.000487
                            theater        303    0.000483
                             french        278    0.000443
                   entrepreneurship        272    0.000434
                           fine art        265    0.000423
                           a levels        242    0.000386
                       film studies        240    0.000383
                  computing science        237    0.000378
                 computer animation        236    0.000376
                     business admin        235    0.000375
                 business marketing        222    0.000354
                         humanities        221    0.000353
                               arts        220    0.000351
                  religious studies        220    0.000351
                               gcse        216    0.000345
                    liberal studies        204    0.000325
                 master of divinity        192    0.000306
                              media        185    0.000295
                        visual arts        183    0.000292
                          new media        182    0.000290
 masters of business administration        177    0.000282
             landscape architecture        145    0.000231
                               bsee        144    0.000230
                     urban planning        132    0.000211
                        archaeology        121    0.000193
            bs computer engineering        120    0.000191
                    photojournalism        118    0.000188
                   business studies        112    0.000179
   computer and information science        108    0.000172
                               mlis         94    0.000150
          bs electrical engineering         90    0.000144
                 bfa graphic design         88    0.000140
        computer systems technology         86    0.000137
                      screenwriting         81    0.000129
    master of public administration         69    0.000110
          ms electrical engineering         68    0.000108
                  piano performance         50    0.000080
                    b.s. psychology         45    0.000072
                           academic         41    0.000065
               cognitive psychology         41    0.000065
                               a.a.         36    0.000057
                   software systems         33    0.000053
         bs business administration         31    0.000049
                  digital marketing         31    0.000049
 journalism and mass communications         30    0.000048
              biology and chemistry         24    0.000038
             bachelor of journalism         23    0.000037


###############
# CLUSTER 146 #
###############

attribute prevalence  =    253 / 110100 = 0.002298
occurrence prevalence =   8255 / 626862 = 0.013169

                                         attribute  frequency  prevalence
                                           history       3663    0.005843
                                        philosophy       1916    0.003056
                                         sociology       1876    0.002993
                                  creative writing        532    0.000849
                                 french, education          3    0.000005
                                            m arch          3    0.000005
                         adminstración de empresas          2    0.000003
                          ba, government & history          2    0.000003
                                  classic culinary          2    0.000003
                             clinical lab sciences          2    0.000003
                                      dessin animé          2    0.000003
                                film media studies          2    0.000003
                   management information services          2    0.000003
                                     master barber          2    0.000003
                             master in engineering          2    0.000003
                                   mfa visual arts          2    0.000003
                                music - conducting          2    0.000003
                             philanthropic studies          2    0.000003
                                 psychology, ph.d.          2    0.000003
                               sähkövoimatekniikka          2    0.000003
                                      written arts          2    0.000003
                                         1000 hour          1    0.000002
 a-levels in business studies, english, and psy...          1    0.000002
                    accompanying and chamber music          1    0.000002
            accredited asset management specialist          1    0.000002
                 acupuncture and chinese herbalism          1    0.000002
                                         aide soin          1    0.000002
                    air traffic control operations          1    0.000002
                                 anthropology (ma)          1    0.000002
                 applied sciences-adv paramedicine          1    0.000002
                         architecture; art history          1    0.000002
                                  archival studies          1    0.000002
                               archives management          1    0.000002
     art  history, theory and philosophy bachelor.          1    0.000002
                           art criticism & writing          1    0.000002
 art history & archaeology / conservation of hi...          1    0.000002
                                     art semiotics          1    0.000002
                         b.a., history and english          1    0.000002
                     b.s. - electrical engineering          1    0.000002
 b.s.biology, chemistry & actuarial science/sta...          1    0.000002
              b.s.ed in kinesiology; ba in spanish          1    0.000002
                    b.sc. behavioural neuroscience          1    0.000002
                                 b.sc. env science          1    0.000002
           ba business administration (accounting)          1    0.000002
       ba in history with secondary education cert          1    0.000002
         ba/ma in philosophy, politics & economics          1    0.000002
          bachelor management and consumer studies          1    0.000002
        bachelor of music in horn, summa cum laude          1    0.000002
           bachelor's of science in human services          1    0.000002
          bachelors degree in computer engineering          1    0.000002


#############
# CLUSTER 5 #
#############

attribute prevalence  =    312 / 110100 = 0.002834
occurrence prevalence =   8245 / 626862 = 0.013153

                     attribute  frequency  prevalence
     early childhood education        232    0.000370
                       zoology        188    0.000300
           clinical psychology        183    0.000292
              exercise science        162    0.000258
               massage therapy        147    0.000235
                music industry        125    0.000199
                 art education        116    0.000185
               juris doctorate        112    0.000179
                  3d animation        104    0.000166
                 legal studies         99    0.000158
              video production         98    0.000156
             human development         95    0.000152
                  pre-pharmacy         95    0.000152
                         dance         92    0.000147
          occupational therapy         85    0.000136
          professional writing         85    0.000136
                     optometry         83    0.000132
          speech communication         78    0.000124
                global studies         76    0.000121
                  theater arts         74    0.000118
         counseling psychology         73    0.000116
                        gen ed         73    0.000116
               musical theatre         72    0.000115
         fashion merchandising         71    0.000113
                           msw         67    0.000107
      instructional technology         66    0.000105
                    film/video         65    0.000104
             game art & design         65    0.000104
               women's studies         64    0.000102
                      teaching         62    0.000099
             classical studies         58    0.000093
     history/political science         57    0.000091
                  horticulture         55    0.000088
                     sculpture         55    0.000088
          creative advertising         54    0.000086
       government and politics         52    0.000083
        media arts & animation         52    0.000083
        educational psychology         51    0.000081
    human resources management         51    0.000081
         cultural anthropology         50    0.000080
 political science and history         50    0.000080
                 bs psychology         48    0.000077
           finance & economics         47    0.000075
         communications design         46    0.000073
                public affairs         46    0.000073
        film and digital media         45    0.000072
           teaching credential         45    0.000072
                art and design         44    0.000070
       communication disorders         44    0.000070
              general business         44    0.000070


###############
# CLUSTER 109 #
###############

attribute prevalence  =    337 / 110100 = 0.003061
occurrence prevalence =   7983 / 626862 = 0.012735

                                        attribute  frequency  prevalence
                                              mba       7628    0.012169
                               ingenieria química          3    0.000005
                            agricultural sciences          2    0.000003
                                          bac eco          2    0.000003
                    bachelors in hotel management          2    0.000003
                                           bba it          2    0.000003
                                 export marketing          2    0.000003
                                            flute          2    0.000003
                    ingeniero en telecomunicación          2    0.000003
                           lic. publicidad y rrpp          2    0.000003
         licenciado en administración de empresas          2    0.000003
                                 m.s. engineering          2    0.000003
                                    m.sc. finance          2    0.000003
                       masters of arts in worship          2    0.000003
                        msc in telecommunications          2    0.000003
                                              pdm          2    0.000003
                               practical engineer          2    0.000003
                                      proc. dados          2    0.000003
                                         school!!          2    0.000003
                                   (dms) hd bus m          1    0.000002
                              (high-school) nodet          1    0.000002
                                        0 - 9 kl.          1    0.000002
                                          10. kl.          1    0.000002
                                      1st-5th std          1    0.000002
                                 4th grade degree          1    0.000002
                                  6th to 10th std          1    0.000002
                                9th to 12th grade          1    0.000002
                            a-level, gcse, junior          1    0.000002
                                a.a. applied arts          1    0.000002
                   a.a. liberal arts and sciences          1    0.000002
                                        a` levels          1    0.000002
                                        aa - arts          1    0.000002
                        accountancy and economics          1    0.000002
 adv dip in arts (ballet, contemporary, and jazz)          1    0.000002
                   advanced radiologic technology          1    0.000002
                advanced visual and creative arts          1    0.000002
          advertising/interactive & visual design          1    0.000002
                                              aea          1    0.000002
                           akademischer austausch          1    0.000002
                   arad, registered teacher (rts)          1    0.000002
             architechtural and civil engineering          1    0.000002
                  architecture & graphical design          1    0.000002
                                     arquitetucra          1    0.000002
       artificial intelligence & computer sciende          1    0.000002
                                             ascs          1    0.000002
           asian studies, business administration          1    0.000002
                                 assoc. degree rn          1    0.000002
                                  b. comm (hon's)          1    0.000002
                    b. sc. mechanical engineering          1    0.000002
                            b. tech. (electrical)          1    0.000002


###############
# CLUSTER 199 #
###############

attribute prevalence  =    198 / 110100 = 0.001798
occurrence prevalence =   7488 / 626862 = 0.011945

                                         attribute  frequency  prevalence
                                    graphic design       3861    0.006159
                                          business       3419    0.005454
                                  retail marketing          3    0.000005
                         administrative leadership          2    0.000003
                                 advanced networks          2    0.000003
                              art- interior design          2    0.000003
                          ba in mass communication          2    0.000003
                                 electrotechnieken          2    0.000003
                                 general aa degree          2    0.000003
                                 it and networking          2    0.000003
              medical insurance billing and coding          2    0.000003
                   network design & administration          2    0.000003
                                     pre-education          2    0.000003
                         .net software development          1    0.000002
     2d animation - storyboarding/character design          1    0.000002
                                  a lot of fields.          1    0.000002
               accountant and an expert programmer          1    0.000002
           accounting/computer information systems          1    0.000002
                     acupuncture & herbal medicine          1    0.000002
                               affiliate marketing          1    0.000002
                             airframe & powerplant          1    0.000002
                      american history; philiosphy          1    0.000002
          applied computing with ict joint honours          1    0.000002
        appplied graphics technology w/ multimedia          1    0.000002
                  art history, theory and criticsm          1    0.000002
                            art therapy/counseling          1    0.000002
                                  art, comm, media          1    0.000002
 as business studies, as computing & c&g l3 dip...          1    0.000002
                             automotive (exterior)          1    0.000002
                               ba (hons sociology)          1    0.000002
            ba business economic/ creative writing          1    0.000002
     ba major english literature and major history          1    0.000002
                                      ba-geography          1    0.000002
                 bachelor degree in graphic design          1    0.000002
                   bachelor of science business/it          1    0.000002
           bachelor's of science: network security          1    0.000002
         bachelors of administration in accounting          1    0.000002
                        bachillerato de enfermeria          1    0.000002
                         bachillerato en geografía          1    0.000002
                                       bfa - photo          1    0.000002
                                        blow it up          1    0.000002
                   boys & cheerleading my mom said          1    0.000002
                     broadcasting/video production          1    0.000002
                            bs in information tech          1    0.000002
                                        bs- ias-ss          1    0.000002
                     bsc television & broadcasting          1    0.000002
                                          building          1    0.000002
        business studies/early childhood education          1    0.000002
                               bwr, rechnungswesen          1    0.000002
             call center operations and management          1    0.000002


##############
# CLUSTER 34 #
##############

attribute prevalence  =    267 / 110100 = 0.002425
occurrence prevalence =   7282 / 626862 = 0.011617

                                         attribute  frequency  prevalence
                              computer engineering       6995    0.011159
                                 masters education          5    0.000008
                                             német          4    0.000006
                         10. klasse afgangseksamen          2    0.000003
                                          3º ciclo          2    0.000003
                      advance software engineering          2    0.000003
                      bach. sistemas de informação          2    0.000003
                                      biológia bsc          2    0.000003
                computer engineering & informatics          2    0.000003
                                         ekonomics          2    0.000003
                  magisterio de educación infantil          2    0.000003
                                matematika tagozat          2    0.000003
                           matemática e computação          2    0.000003
                                     math physique          2    0.000003
                                               sil          2    0.000003
                             sistemas electrónicos          2    0.000003
                                        sykepleien          2    0.000003
                                                09          1    0.000002
