#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
                universidad de concepción        171    0.000184
                   universidad de sevilla        169    0.000182
                  universidad de alicante        168    0.000181
               universidad iberoamericana        163    0.000176
                    universidad de oviedo        158    0.000170
         complutense university of madrid        150    0.000162
         universidad nacional de la plata        149    0.000161
                universidad simón bolívar        138    0.000149
                                      upc        138    0.000149
                   universidad de granada        136    0.000147
        universidad politécnica de madrid        127    0.000137
                                    iteso        125    0.000135
                 universidad de antioquia        125    0.000135
               universidad del desarrollo        122    0.000131
                  universidad veracruzana        122    0.000131
      universidad politécnica de valencia        121    0.000130
         universidad tecnológica nacional        121    0.000130
                  universidad de carabobo        119    0.000128
                 universitat de barcelona        118    0.000127
                                   duocuc        117    0.000126
          universitat oberta de catalunya        117    0.000126
                     universidad la salle        116    0.000125
                                     uabc        115    0.000124
        universitat autònoma de barcelona        115    0.000124
     universitat politècnica de catalunya        115    0.000124
                   universidad de palermo        113    0.000122
                    ingenieria industrial        108    0.000116
                                     icai        105    0.000113
                       universidad latina        105    0.000113
   pontifical catholic university of peru        104    0.000112


##############
# CLUSTER 10 #
##############

attribute prevalence  =   5491 / 246973 = 0.022233
occurrence prevalence =  44188 / 928097 = 0.047611

                                         attribute  frequency  prevalence
                 rochester institute of technology       1883    0.002029
                             university of toronto       1374    0.001480
                             university of arizona       1271    0.001369
           california polytechnic state university       1206    0.001299
                    university of british columbia       1168    0.001258
                      george washington university       1099    0.001184
                         university of north texas       1009    0.001087
                    indiana university bloomington        979    0.001055
                             iowa state university        935    0.001007
                           oregon state university        852    0.000918
                                 auburn university        769    0.000829
                                    boston college        752    0.000810
 university at buffalo, the state university of...        704    0.000759
                     university of texas at dallas        689    0.000742
                       washington state university        613    0.000660
                          west virginia university        585    0.000630
 monterrey institute of technology and higher e...        578    0.000623
                              university of oxford        540    0.000582
                   worcester polytechnic institute        534    0.000575
                         illinois state university        532    0.000573
                         academy of art university        518    0.000558
              oklahoma state university–stillwater        471    0.000507
                     university of new south wales        470    0.000506
                            university of victoria        440    0.000474
                         kennesaw state university        419    0.000451
                                   trinity college        417    0.000449
                  nanyang technological university        407    0.000439
                                   rmit university        391    0.000421
                             school of hard knocks        374    0.000403
                   university of nevada, las vegas        348    0.000375
                               istanbul university        339    0.000365
                                anadolu university        336    0.000362
 university at albany, the state university of ...        323    0.000348
                              university of dayton        312    0.000336
                                   open university        302    0.000325
                           truman state university        292    0.000315
                        wilfrid laurier university        283    0.000305
                               boğaziçi university        281    0.000303
                                bradley university        279    0.000301
                                  rowan university        273    0.000294
                         university of southampton        265    0.000286
                                             apple        260    0.000280
                                  williams college        245    0.000264
                       the evergreen state college        238    0.000256
                                webster university        236    0.000254
                          university of portsmouth        227    0.000245
                                              ntnu        214    0.000231
                               university of idaho        212    0.000228
                       western illinois university        199    0.000214
             california state university, east bay        197    0.000212


##############
# CLUSTER 19 #
##############

