#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
occurrence prevalence =   2759 / 626862 = 0.004401

                                         attribute  frequency  prevalence
                             aerospace engineering       1189    0.001897
                                      illustration        489    0.000780
                                        web design        291    0.000464
                                 music composition        160    0.000255
                            network administration        153    0.000244
                                   pre-engineering        135    0.000215
                                    health science        119    0.000190
                               economics & finance         29    0.000046
                                       elektronika         26    0.000041
                                    ba, psychology         22    0.000035
                           computer graphic design         21    0.000034
                      computer network engineering         20    0.000032
                             bsc, computer science         18    0.000029
                     electromechanical engineering         17    0.000027
                      emergency medical technician         17    0.000027
                                    bs, psychology         12    0.000019
                           networking technologies         12    0.000019
           computer science (software engineering)          7    0.000011
                               kommunikation og it          7    0.000011
                         management and operations          4    0.000006
                      internet services technology          3    0.000005
                                  bsc, kinesiology          1    0.000002
 civil & environmental engineering with focus i...          1    0.000002
          design, computing, business, electronics          1    0.000002
                                 doing what i want          1    0.000002
                    ma, professional communication          1    0.000002
                               maths and athletics          1    0.000002
                                          mcitp-ea          1    0.000002
                   radiological health engineering          1    0.000002


##############
# CLUSTER 42 #
##############

attribute prevalence  =    164 / 555819 = 0.000295
occurrence prevalence =   1669 / 626862 = 0.002662

                  attribute  frequency  prevalence
                       資訊管理        241    0.000384
        network engineering        134    0.000214
                       b.a.        108    0.000172
         east asian studies        102    0.000163
    phd in computer science         96    0.000153
                         se         63    0.000101
         tourism management         56    0.000089
                     电子信息工程         44    0.000070
                       网络工程         43    0.000069
          ocean engineering         34    0.000054
                       工业设计         31    0.000049
       atmospheric sciences         29    0.000046
                        hrm         28    0.000045
                       工商管理         28    0.000045
          signal processing         27    0.000043
      financial mathematics         25    0.000040
                     senior         24    0.000038
                         理科         20    0.000032
                       市场营销         17    0.000027
                         金融         17    0.000027
                        金融学         17    0.000027
                   bullshit         16    0.000026
                     大眾傳播學系         16    0.000026
                        csa         14    0.000022
              summer school         14    0.000022
                        传播学         13    0.000021
                    材料科学与工程         13    0.000021
                        藥學系         13    0.000021
                         ei         12    0.000019
                       廣告學系         12    0.000019
                         数学         12    0.000019
                     junior         11    0.000018
 strategic public relations         11    0.000018
                       行政管理         11    0.000018
             commercial law         10    0.000016
                       艺术设计         10    0.000016
                       车辆工程         10    0.000016
           nuclear medicine          9    0.000014
                         哲学          9    0.000014
                     生物医学工程          9    0.000014
                       生物工程          9    0.000014
             remote sensing          8    0.000013
        vehicle engineering          8    0.000013
                        cas          7    0.000011
                        会计学          7    0.000011
                     广播电视编导          7    0.000011
                     数字媒体艺术          7    0.000011
                         文科          7    0.000011
                       电气工程          7    0.000011
                     计算机及应用          7    0.000011


##############
# CLUSTER 37 #
##############

attribute prevalence  =     29 / 555819 = 0.000052
occurrence prevalence =   1230 / 626862 = 0.001962

                                        attribute  frequency  prevalence
                                computer engineer        329    0.000525
                          bilgisayar mühendisliği        176    0.000281
                                          işletme        155    0.000247
                 mathematics and computer science        148    0.000236
                  english language and literature         92    0.000147
                         bilgisayar programcılığı         60    0.000096
                                        matematik         40    0.000064
                                          öğrenci         40    0.000064
                                    fen bilimleri         33    0.000053
                                            kimya         22    0.000035
                                         biyoloji         21    0.000034
                        ingiliz dili ve edebiyatı         14    0.000022
                                  sosyal bilimler         13    0.000021
                                işletme fakültesi         12    0.000019
            bilgisayar teknolojisi ve programlama         11    0.000018
                               iletişim fakültesi         11    0.000018
                                      reklamcılık         10    0.000016
 bilgisayar ve öğretim teknolojileri öğretmenliği          9    0.000014
                                               ad          7    0.000011
                                         elektrik          7    0.000011
                                      iç mimarlık          7    0.000011
                            faculty of management          3    0.000005
                                  web programlama          3    0.000005
                               iletişim sanatları          2    0.000003
