#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
 o planificación e implementación de un sistema...          1    0.000002
            oficial de seguridad de la información          1    0.000002
           postítulo en redes y telecomunicaciones          1    0.000002
 programa de especialización y actualización pr...          1    0.000002
                             programación con java          1    0.000002
                   tecnologías de banda ancha xdsl          1    0.000002


##############
# CLUSTER 18 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =     35 / 626862 = 0.000056

attribute  frequency  prevalence
     理工学部         17    0.000027
    情報処理科          9    0.000014
      理数科          7    0.000011
    フォトン科          1    0.000002
     文科二類          1    0.000002


##############
# CLUSTER 21 #
##############

attribute prevalence  =      7 / 555819 = 0.000013
occurrence prevalence =     33 / 626862 = 0.000053

                  attribute  frequency  prevalence
                  6th grade         12    0.000019
                  3rd grade          7    0.000011
                  9th grade          7    0.000011
          7th and 8th grade          3    0.000005
          4th and 5th grade          2    0.000003
 bs construction management          1    0.000002
           k thru 2nd grade          1    0.000002


##############
# CLUSTER 30 #
##############

attribute prevalence  =     12 / 555819 = 0.000022
occurrence prevalence =     26 / 626862 = 0.000041

                               attribute  frequency  prevalence
                                     인문계          6    0.000010
                       history, business          4    0.000006
                                   기계공학과          3    0.000005
                                     마케팅          2    0.000003
                                    사회학과          2    0.000003
                                  영어영문학과          2    0.000003
                                    통계학과          2    0.000003
         b.s, geology (minor in physics)          1    0.000002
      m.s, geographic information system          1    0.000002
     ph.d candidate, medical informatics          1    0.000002
 public healthcare management and policy          1    0.000002
                                     교육학          1    0.000002


##############
# CLUSTER 13 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =     25 / 626862 = 0.000040

               attribute  frequency  prevalence
      computer scientist         12    0.000019
 zarządzanie i marketing          8    0.000013
                e-biznes          3    0.000005
    biznes elektroniczny          1    0.000002
               turystyka          1    0.000002


##############
# CLUSTER 10 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =     23 / 626862 = 0.000037

              attribute  frequency  prevalence
 cinema and photography         18    0.000029
      general academics          2    0.000003
     electoral politics          1    0.000002
   elementary academics          1    0.000002
 pre-elementary studies          1    0.000002


##############
# CLUSTER 22 #
##############

attribute prevalence  =      7 / 555819 = 0.000013
occurrence prevalence =     20 / 626862 = 0.000032

                              attribute  frequency  prevalence
                           primarschule          7    0.000011
                         sekundarschule          6    0.000010
                       berufsausbildung          3    0.000005
                        matura / abitur          1    0.000002
                        offiziersschule          1    0.000002
                           sprachschule          1    0.000002
 studium informatik, profil icompetence          1    0.000002


#############
# CLUSTER 8 #
#############

attribute prevalence  =      8 / 555819 = 0.000014
occurrence prevalence =     14 / 626862 = 0.000022

                                       attribute  frequency  prevalence
                  master of computer engineering          5    0.000008
                                             1-6          3    0.000005
                                    1st year vgs          1    0.000002
                                          7 year          1    0.000002
                                        8-9 year          1    0.000002
 bachelor of computer and electrical engineering          1    0.000002
                   computer network course (cne)          1    0.000002
                          pre-engineering course          1    0.000002


##############
# CLUSTER 15 #
##############

attribute prevalence  =      8 / 555819 = 0.000014
occurrence prevalence =     13 / 626862 = 0.000021

                                     attribute  frequency  prevalence
                                7ª e 8ª séries          3    0.000005
 especialização em desenvolvimento de software          3    0.000005
                                5ª e 6ª séries          2    0.000003
                                1º ano 2º grau          1    0.000002
                            2ª, 3ª e 4ª séries          1    0.000002
                          2º e 3º anos 2º grau          1    0.000002
                           adm enfase sistemas          1    0.000002
                         pré-escola e 1ª série          1    0.000002


##############
# CLUSTER 16 #
##############

attribute prevalence  =      7 / 555819 = 0.000013
occurrence prevalence =     12 / 626862 = 0.000019

                                    attribute  frequency  prevalence
                                     gimnaziu          6    0.000010
                                  clasa a v-a          1    0.000002
                                        dauin          1    0.000002
           digital signal processing (master)          1    0.000002
 facultatea de electronică și telecomunicații          1    0.000002
                     facultatea de matematică          1    0.000002
                               școală primară          1    0.000002


#############
# CLUSTER 5 #
#############

attribute prevalence  =     10 / 555819 = 0.000018
occurrence prevalence =     10 / 626862 = 0.000016

                      attribute  frequency  prevalence
 disg persönlichkeitsermittlung          1    0.000002
        effective figur trainer          1    0.000002
         effective kids trainer          1    0.000002
   fitness- instructor b lizenz          1    0.000002
   fitness-und gesundheitscoach          1    0.000002
                fitnessfachwirt          1    0.000002
                 own zone guide          1    0.000002
      sales- und servicemanager          1    0.000002
     sport- und fitnesskaufmann          1    0.000002
                   übungsleiter          1    0.000002


##############
# CLUSTER 23 #
##############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =     10 / 626862 = 0.000016

                            attribute  frequency  prevalence
                           högstadiet          5    0.000008
 handels- & administrationsprogrammet          1    0.000002
                           lågstadiet          1    0.000002
                        mellanstadiet          1    0.000002
                     teater grundkurs          1    0.000002
          teaterpedagog, teaterteknik          1    0.000002


#############
# CLUSTER 3 #
#############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =      9 / 626862 = 0.000014

                                  attribute  frequency  prevalence
        diploma of it (website development)          3    0.000005
              b.sc (information technology)          2    0.000003
                       billionaire bootcamp          1    0.000002
 education for gifted and talented students          1    0.000002
                  rich heart / healthy mind          1    0.000002
                         the warrior spirit          1    0.000002


##############
# CLUSTER 19 #
##############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =      9 / 626862 = 0.000014

         attribute  frequency  prevalence
 ba (hons) history          3    0.000005
           ma, phd          2    0.000003
       class 4,5.6          1    0.000002
     classes 11,12          1    0.000002
  classes 2,3,9,10          1    0.000002
  form 1 (class 7)          1    0.000002


##############
# CLUSTER 26 #
##############

attribute prevalence  =      8 / 555819 = 0.000014
occurrence prevalence =      8 / 626862 = 0.000013

                                         attribute  frequency  prevalence
 ba in hospitality and tourism management and h...          1    0.000002
 certified angel therapy practitioner.  connect...          1    0.000002
 graduate gemologist, graduate pearls, accredit...          1    0.000002
 igcse, i.b. diploma (primary and secondary edu...          1    0.000002
                kindergarten play school (k1 - k3)          1    0.000002
                        primary education (year 1)          1    0.000002
                  primary education (year 3 and 4)          1    0.000002
 study and observations in human behaviour, ana...          1    0.000002


##############
# CLUSTER 31 #
##############

attribute prevalence  =      8 / 555819 = 0.000014
occurrence prevalence =      8 / 626862 = 0.000013

                                         attribute  frequency  prevalence
 bachelor of arts with first class honours in h...          1    0.000002
          bachelor of literature and communication          1    0.000002
                bachelor of professional education          1    0.000002
                       diploma of internet studies          1    0.000002
          doctor of philosophy in cultural history          1    0.000002
           master of arts (by research) in history          1    0.000002
      master of education with first class honours          1    0.000002
             master of letters in cultural studies          1    0.000002


#############
# CLUSTER 7 #
#############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =      7 / 626862 = 0.000011

                                         attribute  frequency  prevalence
                   google advertising professional          2    0.000003
                 display advertising advanced exam          1    0.000002
              google advertising fundamentals exam          1    0.000002
 google analytics individual qualification (iq)...          1    0.000002
                reporting & analysis advanced exam          1    0.000002
                  search advertising advanced exam          1    0.000002


##############
# CLUSTER 12 #
##############

attribute prevalence  =      7 / 555819 = 0.000013
occurrence prevalence =      7 / 626862 = 0.000011

                                         attribute  frequency  prevalence
 6214 - effective team development using micros...          1    0.000002
 6215 - implementing and administering microsof...          1    0.000002
 6231 - maintaining a microsoft sql server 2008...          1    0.000002
 6232 - implementing a microsoft sql server 200...          1    0.000002
 6234 - implementing and maintaining microsoft ...          1    0.000002
               bacharel em cientista da computação          1    0.000002
         pós graduado em administração de empresas          1    0.000002


##############
# CLUSTER 14 #
##############

attribute prevalence  =      6 / 555819 = 0.000011
occurrence prevalence =      7 / 626862 = 0.000011

                                         attribute  frequency  prevalence
             project management professional (pmp)          2    0.000003
 ba - quantitative methods and information systems          1    0.000002
           certificate - teacher education program          1    0.000002
 ma - quantitative methods and information systems          1    0.000002
           mba - operations management  /  finance          1    0.000002
     postgraduate - value based management program          1    0.000002


##############
# CLUSTER 36 #
##############

attribute prevalence  =      2 / 555819 = 0.000004
occurrence prevalence =      7 / 626862 = 0.000011

  attribute  frequency  prevalence
     sosial          5    0.000008
 perhotelan          2    0.000003


##############
# CLUSTER 41 #
##############

attribute prevalence  =      7 / 555819 = 0.000013
occurrence prevalence =      7 / 626862 = 0.000011

                                        attribute  frequency  prevalence
                           1o ano do ensino médio          1    0.000002
                      2o e 3o ano do ensino médio          1    0.000002
                    7o e 8o anos do ensino básico          1    0.000002
                 final do 6o ano do ensino básico          1    0.000002
 jardim da infância até o 2o ano do ensino básico          1    0.000002
                metade do 3o ano do ensino básico          1    0.000002
          outra metade do 3o ano do ensino básico          1    0.000002


##############
# CLUSTER 11 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =      6 / 626862 = 0.000010

                  attribute  frequency  prevalence
                       k.g.          2    0.000003
                    i - iii          1    0.000002
                     iv - v          1    0.000002
 msc(5 yr int) in photonics          1    0.000002
                    vi - xi          1    0.000002


#############
# CLUSTER 1 #
#############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =      5 / 626862 = 0.000008

                                         attribute  frequency  prevalence
                 high school (1st semester year 9)          1    0.000002
 high school (2nd semester year 9 through year 12)          1    0.000002
                              high school (year 8)          1    0.000002
 information technology / information systems /...          1    0.000002
                     it (network admin/management)          1    0.000002


##############
# CLUSTER 28 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =      5 / 626862 = 0.000008

                                 attribute  frequency  prevalence
        гештальт-тренер, гештальт-терапевт          1    0.000002
        менеджмент, управление изменениями          1    0.000002
        преподаватель библейских дисциплин          1    0.000002
 психолог-консультант, социальный работник          1    0.000002
            экзистенциальный психотерапевт          1    0.000002


##############
# CLUSTER 40 #
##############

attribute prevalence  =      5 / 555819 = 0.000009
occurrence prevalence =      5 / 626862 = 0.000008

                          attribute  frequency  prevalence
 applied informatics and multimedia          1    0.000002
                        biorobotics          1    0.000002
            philosophy and pedagogy          1    0.000002
            technological direction          1    0.000002
                             βόλτες          1    0.000002


##############
# CLUSTER 29 #
##############

attribute prevalence  =      4 / 555819 = 0.000007
occurrence prevalence =      4 / 626862 = 0.000006

                             attribute  frequency  prevalence
                           comunicació          1    0.000002
 diploma presentació integral en ràdio          1    0.000002
                    filologia catalana          1    0.000002
                   filologia hispànica          1    0.000002


##############
# CLUSTER 33 #
##############

attribute prevalence  =      3 / 555819 = 0.000005
occurrence prevalence =      4 / 626862 = 0.000006

                    attribute  frequency  prevalence
          positive psychology          2    0.000003
  economics/social psychology          1    0.000002
 physics/chemical engineering          1    0.000002


##############
# CLUSTER 20 #
##############

attribute prevalence  =      2 / 555819 = 0.000004
occurrence prevalence =      2 / 626862 = 0.000003

         attribute  frequency  prevalence
 acoustics & music          1    0.000002
        macro econ          1    0.000002


#############
# CLUSTER 4 #
#############

attribute prevalence  =      0 / 555819 = 0.000000
occurrence prevalence =      0 / 626862 = 0.000000

Empty DataFrame
Columns: [attribute, frequency, prevalence]
Index: []


#############
# CLUSTER 6 #
#############

attribute prevalence  =      0 / 555819 = 0.000000
occurrence prevalence =      0 / 626862 = 0.000000

Empty DataFrame
Columns: [attribute, frequency, prevalence]
Index: []


##############
# CLUSTER 45 #
##############

attribute prevalence  =      0 / 555819 = 0.000000
occurrence prevalence =      0 / 626862 = 0.000000

Empty DataFrame
Columns: [attribute, frequency, prevalence]
Index: []


